,length,space,has .,has %,has percent,label
99 percent,10,1,0,0,1,1
1.5%,4,0,1,1,0,0
35%,3,0,0,1,0,1
additional 3.8%,15,1,1,1,0,0
4.2%,4,0,1,1,0,0
47%,3,0,0,1,0,1
26%,3,0,0,1,0,1
0.9%,4,0,1,1,0,0
10%,3,0,0,1,0,1
40%,3,0,0,1,0,1
1%,2,0,0,1,0,1
0.4%,4,0,1,1,0,0
9%,2,0,0,1,0,1
the 47%,7,1,0,1,0,0
15%,3,0,0,1,0,1
1.9 percent,11,1,1,0,1,1
10 8),5,1,0,0,0,0
39.6%,5,0,1,1,0,0
0%,2,0,0,1,0,1
foresees 2%,11,1,0,1,0,0
80-90%,6,0,0,1,0,0
3%,2,0,0,1,0,1
23.8%,5,0,1,1,0,0
2%,2,0,0,1,0,1
1.4%,4,0,1,1,0,0
1.2%,4,0,1,1,0,0
9.3%,4,0,1,1,0,0
20%,3,0,0,1,0,1
6.2%,4,0,1,1,0,0
18.8%,5,0,1,1,0,0
0.5 percent,11,1,1,0,1,1
7-8%,4,0,0,1,0,0
1.7%,4,0,1,1,0,0
8%,2,0,0,1,0,1
+0.7 percent,12,1,1,0,1,0
51 percent,10,1,0,0,1,1
1.5%,4,0,1,1,0,0
4.348%,6,0,1,1,0,0
38%,3,0,0,1,0,1
26%,3,0,0,1,0,1
1.3%,4,0,1,1,0,0
4.2 percent,11,1,1,0,1,1
0.3 percent,11,1,1,0,1,1
nine 11 percent,15,2,0,0,1,0
49%,3,0,0,1,0,1
52.7 percent,12,1,1,0,1,0
nearly 3%,9,1,0,1,0,0
16.0%,5,0,1,1,0,0
50.3 percent,12,1,1,0,1,1
0.1 percent,11,1,1,0,1,1
+3.0 percent,12,1,1,0,1,0
0.4 percent,11,1,1,0,1,1
20%,3,0,0,1,0,1
13.84%,6,0,1,1,0,0
19%,3,0,0,1,0,1
5%,2,0,0,1,0,1
6.67%,5,0,1,1,0,0
13.5 percent,12,1,1,0,1,1
era 35 percent,14,2,0,0,1,0
55%,3,0,0,1,0,1
22 percent,10,1,0,0,1,1
49.5 percent,12,1,1,0,1,1
5.2 percent,11,1,1,0,1,1
2 percent,9,1,0,0,1,1
6.8%,4,0,1,1,0,0
50 percent,10,1,0,0,1,1
1%,2,0,0,1,0,1
2013 50 percent,15,2,0,0,1,0
1.2 percentage points,21,2,1,0,1,0
0.2 percent,11,1,1,0,1,1
nine percent,12,1,0,0,1,1
1.8178%,7,0,1,1,0,0
12.3 percent,12,1,1,0,1,1
15%,3,0,0,1,0,1
39.6 percent,12,1,1,0,1,1
8.88%,5,0,1,1,0,0
3.1%,4,0,1,1,0,0
39.6%,5,0,1,1,0,0
0.7 percent,11,1,1,0,1,1
23.8%,5,0,1,1,0,0
17.5 percent,12,1,1,0,1,1
97 percent,10,1,0,0,1,1
1.73%,5,0,1,1,0,1
2.9%,4,0,1,1,0,0
52.6 percent,12,1,1,0,1,0
6.1%,4,0,1,1,0,0
2.19 percent,12,1,1,0,1,1
69%,3,0,0,1,0,1
28.2 percent,12,1,1,0,1,1
24%,3,0,0,1,0,1
7.7 percent,11,1,1,0,1,1
50%,3,0,0,1,0,1
20 percent,10,1,0,0,1,1
11.8%,5,0,1,1,0,0
39.5%,5,0,1,1,0,0
90%,3,0,0,1,0,1
2.5 percent,11,1,1,0,1,1
49 percent,10,1,0,0,1,1
7.8 percent,11,1,1,0,1,1
1.8 percent,11,1,1,0,1,1
1.7 percent,11,1,1,0,1,1
3.60%,5,0,1,1,0,1
0.01 percent,12,1,1,0,1,1
5.3 percent,11,1,1,0,1,1
2.07%,5,0,1,1,0,0
2%,2,0,0,1,0,1
1.4%,4,0,1,1,0,0
48%,3,0,0,1,0,1
15.96%,6,0,1,1,0,0
6.2 percent,11,1,1,0,1,1
5.5%,4,0,1,1,0,0
42 percent,10,1,0,0,1,1
2.24%,5,0,1,1,0,1
five percent,12,1,0,0,1,1
6.7 percent,11,1,1,0,1,1
30%,3,0,0,1,0,1
17%,3,0,0,1,0,1
39.4 percent,12,1,1,0,1,0
5-6%,4,0,0,1,0,0
35%,3,0,0,1,0,1
three percent,13,1,0,0,1,1
9 percent,9,1,0,0,1,1
10%,3,0,0,1,0,1
40%,3,0,0,1,0,1
5 percent,9,1,0,0,1,1
13.9 percent,12,1,1,0,1,1
9.2 percent,11,1,1,0,1,1
four percent,12,1,0,0,1,1
Some 90 percent,15,2,0,0,1,0
100%,4,0,0,1,0,1
51.5 percent,12,1,1,0,1,0
98 percent,10,1,0,0,1,1
14 percent,10,1,0,0,1,1
70%,3,0,0,1,0,1
6.24%,5,0,1,1,0,1
13 percent,10,1,0,0,1,1
50.7 percent,12,1,1,0,1,0
0.6 percent,11,1,1,0,1,1
2.701%,6,0,1,1,0,0
approximately 32%,17,1,0,1,0,0
21.7 percent,12,1,1,0,1,1
0.5 percent,11,1,1,0,1,1
4%,2,0,0,1,0,1
215 percent,11,1,0,0,1,1
"1,210%",6,0,0,1,0,0
1.6 percent,11,1,1,0,1,1
6.5 percent,11,1,1,0,1,1
6.0%,4,0,1,1,0,0
4.9 percent,11,1,1,0,1,1
6 percent,9,1,0,0,1,1
around 2.5%,11,1,1,1,0,0
0.18%,5,0,1,1,0,1
2 percent,9,1,0,0,1,1
16 percent,10,1,0,0,1,1
around 6.5%,11,1,1,1,0,0
6½ percent,10,1,0,0,1,0
0.9%,4,0,1,1,0,0
barely 8%,9,1,0,1,0,0
1.2 percent,11,1,1,0,1,1
2-1/2 percent,13,1,0,0,1,0
40%,3,0,0,1,0,1
1%,2,0,0,1,0,1
60 percent,10,1,0,0,1,1
9%,2,0,0,1,0,1
7.7 percent,11,1,1,0,1,1
5 percent,9,1,0,0,1,1
33.4%,5,0,1,1,0,0
50%,3,0,0,1,0,1
80 90 percent,13,2,0,0,1,0
10.1%,5,0,1,1,0,0
28.3 percent,12,1,1,0,1,1
2.5 percent,11,1,1,0,1,1
15 percent,10,1,0,0,1,1
189 percent,11,1,0,0,1,1
39.6%,5,0,1,1,0,0
100%,4,0,0,1,0,1
0.7 percent,11,1,1,0,1,1
1.8%,4,0,1,1,0,0
6-1/2 percent,13,1,0,0,1,1
0.19%,5,0,1,1,0,1
23.8%,5,0,1,1,0,0
31 percent,10,1,0,0,1,1
80%,3,0,0,1,0,1
2%,2,0,0,1,0,1
14 percent,10,1,0,0,1,1
3 percent,9,1,0,0,1,1
26.4 percent,12,1,1,0,1,1
43 percent,10,1,0,0,1,1
3.8%,4,0,1,1,0,0
nearly 60 percent,17,2,0,0,1,0
2.83%,5,0,1,1,0,1
7.6 percent,11,1,1,0,1,1
2.1 percent,11,1,1,0,1,1
2.6 percent,11,1,1,0,1,1
10 percent,10,1,0,0,1,1
This 22 percent,15,2,0,0,1,0
5.5%,4,0,1,1,0,0
2.8 percent,11,1,1,0,1,1
4.3%,4,0,1,1,0,0
90 percent,10,1,0,0,1,1
3.0 percent,11,1,1,0,1,1
0.3%,4,0,1,1,0,0
84.69%,6,0,1,1,0,1
8.7%,4,0,1,1,0,0
26.9 percent,12,1,1,0,1,0
0 1/4 percent,13,2,0,0,1,0
22 percent,10,1,0,0,1,1
7.0%,4,0,1,1,0,0
25 percent,10,1,0,0,1,1
22%,3,0,0,1,0,1
1.5%,4,0,1,1,0,0
half point 6.5 percent,22,3,1,0,1,0
1.3%,4,0,1,1,0,0
6.5%,4,0,1,1,0,0
29 percent,10,1,0,0,1,1
7.7%,4,0,1,1,0,0
0.3 percent,11,1,1,0,1,1
9 37.8 percent,14,2,1,0,1,0
nearly 100 percent,18,2,0,0,1,0
53%,3,0,0,1,0,1
3 percent,9,1,0,0,1,1
2.5%,4,0,1,1,0,0
1.96%,5,0,1,1,0,0
0.1 percent,11,1,1,0,1,1
0.4 percent,11,1,1,0,1,1
20%,3,0,0,1,0,1
19%,3,0,0,1,0,1
5%,2,0,0,1,0,1
0.1%,4,0,1,1,0,0
45%,3,0,0,1,0,1
7bps 1.91%,10,1,1,1,0,0
approximately 0.2%,18,1,1,1,0,0
30% percent,11,1,0,1,1,0
78 percent,10,1,0,0,1,1
32%,3,0,0,1,0,1
16%,3,0,0,1,0,1
5.1 percent,11,1,1,0,1,1
2 percent,9,1,0,0,1,1
50 percent,10,1,0,0,1,1
0.2 percent,11,1,1,0,1,1
4.01 percent,12,1,1,0,1,0
4 percent,9,1,0,0,1,1
11%,3,0,0,1,0,1
1.8%,4,0,1,1,0,0
1.91 percent,12,1,1,0,1,0
75 percent,10,1,0,0,1,1
2.3 percent,11,1,1,0,1,1
